Title: test

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
10000.00 950.15 0.592501 37.6543 0.0232017 4.60784 0.0609213 0.37379 0.571453 21.5722 0.101265 0.740638 7.13703 0.315405 0 26.842
10000.00 949.15 0.590351 37.5207 0.0226708 4.5739 0.0603848 0.374563 0.564841 21.6507 0.10139 0.73669 7.14263 0.311814 0 26.9397
10000.00 948.15 0.588238 37.3886 0.0221528 4.54018 0.0598483 0.375334 0.558258 21.7285 0.101518 0.732763 7.14811 0.308281 0 27.0365
10000.00 947.15 0.586161 37.2579 0.0216475 4.50668 0.059312 0.376102 0.551704 21.8055 0.101648 0.728857 7.15348 0.304806 0 27.1324
10000.00 946.15 0.584117 37.1287 0.0211544 4.47339 0.0587762 0.376869 0.545183 21.8818 0.10178 0.724973 7.15874 0.301385 0 27.2273
10000.00 945.15 0.582107 37.0009 0.0206731 4.44031 0.0582409 0.377634 0.538694 21.9574 0.101915 0.72111 7.16388 0.298018 0 27.3213
10000.00 944.15 0.580129 36.8744 0.0202034 4.40745 0.0577064 0.378399 0.532239 22.0322 0.102053 0.717268 7.16892 0.294704 0 27.4145
10000.00 943.15 0.578182 36.7492 0.0197449 4.37478 0.0571726 0.379162 0.52582 22.1064 0.102192 0.713447 7.17385 0.29144 0 27.5067
10000.00 942.15 0.576266 36.6254 0.0192974 4.34232 0.0566399 0.379924 0.519438 22.1799 0.102334 0.709648 7.17868 0.288226 0 27.5982
10000.00 941.15 0.574380 36.5028 0.0188604 4.31006 0.0561082 0.380685 0.513092 22.2527 0.102477 0.70587 7.18341 0.28506 0 27.6888
10000.00 940.15 0.572523 36.3815 0.0184338 4.278 0.0555777 0.381445 0.506786 22.3249 0.102623 0.702113 7.18804 0.281941 0 27.7786
10000.00 939.15 0.570694 36.2614 0.0180171 4.24613 0.0550485 0.382205 0.500519 22.3964 0.102771 0.698377 7.19258 0.278868 0 27.8677
10000.00 938.15 0.568893 36.1425 0.0176103 4.21445 0.0545208 0.382965 0.494292 22.4674 0.102921 0.694663 7.19702 0.27584 0 27.9559
10000.00 937.15 0.567119 36.0247 0.0172129 4.18297 0.0539946 0.383724 0.488106 22.5377 0.103072 0.69097 7.20136 0.272856 0 28.0434
10000.00 936.15 0.565370 35.9081 0.0168248 4.15167 0.05347 0.384483 0.481963 22.6074 0.103225 0.687297 7.20562 0.269914 0 28.1301
10000.00 935.15 0.563648 35.7926 0.0164457 4.12056 0.052947 0.385241 0.475862 22.6765 0.10338 0.683646 7.20978 0.267013 0 28.2161
10000.00 934.15 0.561950 35.6782 0.0160754 4.08963 0.0524259 0.385999 0.469804 22.745 0.103537 0.680016 7.21386 0.264154 0 28.3013
10000.00 933.15 0.560276 35.5649 0.0157136 4.05888 0.0519067 0.386757 0.46379 22.8129 0.103695 0.676407 7.21785 0.261334 0 28.3858
10000.00 932.15 0.558627 35.4527 0.0153601 4.02832 0.0513894 0.387515 0.45782 22.8803 0.103855 0.672819 7.22176 0.258553 0 28.4697
10000.00 931.15 0.557000 35.3415 0.0150148 3.99793 0.0508741 0.388273 0.451896 22.9471 0.104017 0.669252 7.22559 0.255809 0 28.5528
10000.00 930.15 0.555396 35.2313 0.0146773 3.96772 0.050361 0.38903 0.446016 23.0133 0.104179 0.665706 7.22933 0.253103 0 28.6352
10000.00 929.15 0.553815 35.1221 0.0143476 3.93768 0.04985 0.389787 0.440183 23.0791 0.104343 0.66218 7.23299 0.250433 0 28.717
10000.00 928.15 0.552255 35.0139 0.0140253 3.90782 0.0493412 0.390545 0.434396 23.1443 0.104509 0.658676 7.23658 0.247799 0 28.7981
10000.00 927.15 0.550716 34.9067 0.0137104 3.87812 0.0488347 0.391302 0.428655 23.2089 0.104675 0.655192 7.24009 0.245199 0 28.8786
10000.00 926.15 0.549198 34.8004 0.0134026 3.8486 0.0483306 0.392059 0.422962 23.2731 0.104843 0.651729 7.24353 0.242634 0 28.9584
10000.00 925.15 0.547700 34.6951 0.0131018 3.81925 0.0478288 0.392816 0.417315 23.3367 0.105012 0.648286 7.24689 0.240101 0 29.0376
10000.00 924.15 0.546222 34.5906 0.0128077 3.79006 0.0473295 0.393572 0.411717 23.3999 0.105183 0.644865 7.25018 0.237601 0 29.1162
