,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
104,FeS-SSKOM-2,16.0,1723,46.0,0.62,14.9,13.5,11.5,12.0,0.03,0.17,0.0,0.0,1850,-10.14,,,,,,,,1449.85
105,FeS-BK12,10.0,1673,44.8,0.0,17.8,11.9,6.25,17.6,0.0,0.0,0.0,0.0,1810,-10.7,,,,,,,,1399.85
106,FeS-SSKOM-1,15.0,1698,46.0,1.01,16.2,13.5,8.52,13.1,0.66,0.3,0.0,0.0,1780,-10.4,,,,,,,,1424.85
107,FeS-SSKOM-24,27.0,1773,47.7,0.21,14.6,6.11,22.4,8.47,0.14,0.0,0.0,0.0,1740,-9.96,,,,,,,,1499.85
108,FeS-SSKOM-13,10.0,1723,53.0,0.34,10.8,7.78,17.9,10.1,0.04,0.04,0.0,0.0,1730,-10.73,,,,,,,,1449.85
109,R-FeS-SSKOM-23,24.0,1773,50.0,0.21,9.66,5.92,22.6,10.8,0.24,0.0,0.0,0.0,1610,-10.16,,,,,,,,1499.85
110,FeS-85-41c-1,10.0,1723,51.7,0.56,13.5,7.93,13.8,8.15,3.17,0.77,0.0,0.0,1500,-10.63,,,,,,,,1449.85
111,FSOs-15-7,14.0,1643,50.5,0.08,20.2,7.89,6.9,10.1,4.46,0.16,0.0,0.0,1260,-11.46,,,,,,,,1369.85
112,FSOs-15-6,14.0,1643,50.1,1.07,19.9,7.02,5.22,7.48,6.38,0.84,0.0,0.0,750,-11.56,,,,,,,,1369.85
113,11,16.0,1628,47.6,0.69,17.9,7.8,12.6,11.0,2.2,0.0,0.0,0.0,1600,-7.39,,,,,,,,1354.85
114,52B,10.0,1573,47.1,0.7,17.7,8.7,11.9,10.8,2.21,0.0,0.0,0.0,1600,-8.85,,,,,,,,1299.85
115,35B,12.0,1588,48.0,0.61,18.4,5.1,12.6,11.5,1.78,0.0,0.0,0.0,1500,-8.11,,,,,,,,1314.85
116,7,16.0,1628,47.5,0.72,18.0,8.3,11.5,10.9,2.4,0.0,0.0,0.0,1500,-7.39,,,,,,,,1354.85
117,5,16.0,1628,47.9,0.74,18.3,7.9,11.5,11.4,2.4,0.0,0.0,0.0,1400,-7.39,,,,,,,,1354.85
118,4,16.0,1628,47.7,0.72,18.2,8.2,11.4,11.1,2.4,0.0,0.0,0.0,1400,-7.39,,,,,,,,1354.85
119,12,16.0,1628,47.7,0.72,18.5,8.2,10.9,11.3,2.5,0.0,0.0,0.0,1400,-7.39,,,,,,,,1354.85
120,2,16.0,1628,47.4,0.73,18.1,8.6,11.2,11.0,2.4,0.0,0.0,0.0,1400,-7.39,,,,,,,,1354.85
121,3,16.0,1628,47.9,0.68,18.2,7.0,12.1,11.4,2.3,0.0,0.0,0.0,1300,-7.39,,,,,,,,1354.85
122,54A,10.0,1573,50.1,0.71,17.4,5.2,11.6,11.9,2.6,0.0,0.0,0.0,1100,-8.02,,,,,,,,1299.85
123,54B,10.0,1573,50.1,0.73,18.0,5.3,11.1,11.6,2.52,0.0,0.0,0.0,1100,-8.06,,,,,,,,1299.85
124,27,11.0,1588,49.0,0.67,18.3,4.9,11.9,12.1,2.6,0.0,0.0,0.0,1100,-8.22,,,,,,,,1314.85
