System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
63 3000.00 1214.00 100.000000 1.0000000000000000 1.000000 -1167642.773029 270.649277 36.653758 147.532550 -245.026491 2959.564029 -8.862 -8.862 2.728233 0.000000 2.137 n/a n/a
63 1000.00 1214.00 100.000000 1.0000000000000000 1.000000 -1174131.284010 271.249936 37.174399 147.573030 -276.047441 3051.206375 -9.058 -9.058 2.690023 0.000000 2.137 n/a n/a
52 7000.00 1266.80 100.000000 0.9996443057956677 0.999695 -1147114.158467 274.625646 35.934670 147.475922 -191.535556 2855.556622 -7.885 -7.885 2.782687 3.246065 1.920 n/a n/a
64 1000.00 1211.00 100.000000 1.0000000000000000 1.000000 -1174574.002260 270.951940 37.165246 147.572471 -275.891225 3050.770647 -9.094 -9.094 2.690686 0.000000 2.150 n/a n/a
58 5000.00 1235.00 100.000000 1.0000000000000000 1.000000 -1158131.313732 272.132724 36.253334 147.504206 -217.177933 2895.218774 -8.425 -8.425 2.758367 0.000000 2.049 n/a n/a
65 1000.00 1208.00 100.000000 1.0000000000000000 1.000000 -1175016.718833 270.653342 37.156094 147.571911 -275.735086 3050.331977 -9.131 -9.131 2.691349 0.000000 2.162 n/a n/a
66 3000.00 1205.00 100.000000 1.0000000000000000 1.000000 -1168964.231853 269.758003 36.627128 144.111278 -244.670828 2958.403764 -8.971 -8.971 2.730217 0.000000 2.175 n/a n/a
53 7000.00 1266.90 100.000000 1.0000000000000000 1.000000 -1147083.950368 274.645262 35.936553 147.489117 -191.572418 2855.901506 -7.883 -7.883 2.782682 0.000000 1.919 n/a n/a
66 1000.00 1205.00 100.000000 1.0000000000000000 1.000000 -1175453.109975 270.358415 37.146944 144.152383 -275.579025 3049.890363 -9.167 -9.167 2.692012 0.000000 2.175 n/a n/a
59 5000.00 1234.00 100.000000 0.9981593082285591 0.998434 -1158357.122057 271.982938 36.241811 147.435119 -216.958139 2893.235882 -8.436 -8.436 2.758485 3.243001 2.054 n/a n/a
67 3000.00 1202.00 100.000000 1.0000000000000000 1.000000 -1169396.560977 269.465226 36.618253 144.108130 -244.552429 2958.011123 -9.008 -9.008 2.730879 0.000000 2.188 n/a n/a
67 1000.00 1202.00 100.000000 1.0000000000000000 1.000000 -1175885.562724 270.065554 37.137795 144.149441 -275.423042 3049.445807 -9.204 -9.204 2.692675 0.000000 2.188 n/a n/a
68 1000.00 1199.00 100.000000 1.0000000000000000 1.000000 -1176318.006575 269.772103 37.128647 144.146451 -275.267136 3048.998307 -9.241 -9.241 2.693338 0.000000 2.201 n/a n/a
69 1000.00 1196.00 100.000000 1.0000000000000000 1.000000 -1176750.441381 269.478059 37.119501 144.143412 -275.111309 3048.547864 -9.279 -9.279 2.694002 0.000000 2.214 n/a n/a
68 3000.00 1199.00 100.000000 0.9929521966537936 0.994055 -1170120.385058 268.973941 36.575008 143.853904 -243.661727 2949.767707 -9.044 -9.044 2.731074 3.241225 2.206 n/a n/a
55 7000.00 1261.86 100.000000 0.9749723310557025 0.978494 -1148915.620215 273.453955 35.809581 146.561012 -189.014879 2831.692715 -7.943 -7.943 2.782499 3.249807 1.955 n/a n/a
70 1000.00 1193.00 100.000000 1.0000000000000000 1.000000 -1177182.866998 269.183421 37.110356 144.140324 -274.955560 3048.094479 -9.316 -9.316 2.694666 0.000000 2.227 n/a n/a
62 5000.00 1234.80 100.000000 1.0000000000000000 1.000000 -1158160.814566 272.113162 36.252755 147.504138 -217.172491 2895.198112 -8.427 -8.427 2.758411 0.000000 2.050 n/a n/a
71 1000.00 1190.00 100.000000 1.0000000000000000 1.000000 -1177615.283277 268.888186 37.101212 144.137187 -274.799888 3047.638150 -9.354 -9.354 2.695330 0.000000 2.241 n/a n/a
63 5000.00 1234.70 100.000000 1.0000000000000000 1.000000 -1158175.564978 272.103380 36.252465 147.504105 -217.169770 2895.187777 -8.428 -8.428 2.758433 0.000000 2.050 n/a n/a
72 1000.00 1187.00 100.000000 1.0000000000000000 1.000000 -1178047.690070 268.592351 37.092070 144.134000 -274.644294 3047.178879 -9.392 -9.392 2.695994 0.000000 2.254 n/a n/a
64 5000.00 1234.60 100.000000 1.0000000000000000 1.000000 -1158190.315387 272.093597 36.252176 147.504071 -217.167049 2895.177438 -8.429 -8.429 2.758455 0.000000 2.050 n/a n/a
73 1000.00 1184.00 100.000000 1.0000000000000000 1.000000 -1178480.087228 268.295914 37.082929 144.130764 -274.488778 3046.716664 -9.430 -9.430 2.696659 0.000000 2.267 n/a n/a
65 5000.00 1234.50 100.000000 1.0000000000000000 1.000000 -1158205.065793 272.083814 36.251886 147.504038 -217.164328 2895.167095 -8.430 -8.430 2.758477 0.000000 2.051 n/a n/a
69 3000.00 1202.00 100.000000 1.0000000000000000 1.000000 -1169396.560977 269.465226 36.618253 144.108130 -244.552429 2958.011123 -9.008 -9.008 2.730879 0.000000 2.188 n/a n/a
74 1000.00 1181.00 100.000000 1.0000000000000000 1.000000 -1178912.474602 267.998874 37.073789 144.127477 -274.333340 3046.251507 -9.468 -9.468 2.697323 0.000000 2.280 n/a n/a
66 5000.00 1234.40 100.000000 1.0000000000000000 1.000000 -1158219.816195 272.074030 36.251597 147.504004 -217.161608 2895.156750 -8.431 -8.431 2.758499 0.000000 2.051 n/a n/a
75 1000.00 1178.00 100.000000 1.0000000000000000 1.000000 -1179344.852042 267.701226 37.064651 144.124141 -274.177980 3045.783407 -9.506 -9.506 2.697988 0.000000 2.294 n/a n/a
70 3000.00 1201.00 100.000000 1.0000000000000000 1.000000 -1169540.668578 269.367503 36.615295 144.107070 -244.512980 2957.879588 -9.020 -9.020 2.731099 0.000000 2.193 n/a n/a
76 1000.00 1175.00 100.000000 1.0000000000000000 1.000000 -1179777.219397 267.402970 37.055515 144.120754 -274.022698 3045.312363 -9.545 -9.545 2.698654 0.000000 2.307 n/a n/a
77 1000.00 1172.00 100.000000 1.0000000000000000 1.000000 -1180209.576514 267.104102 37.046380 144.117316 -273.867493 3044.838377 -9.584 -9.584 2.699319 0.000000 2.321 n/a n/a
78 1000.00 1169.00 100.000000 1.0000000000000000 1.000000 -1180641.923242 266.804620 37.037246 144.113827 -273.712367 3044.361447 -9.623 -9.623 2.699985 0.000000 2.334 n/a n/a
57 7000.00 1251.79 95.106131 0.9760788793605426 0.979502 -1092080.624926 259.394465 34.066520 138.970608 -183.034948 2719.878621 -8.067 -8.067 2.782021 3.257989 2.027 n/a n/a
79 1000.00 1166.00 100.000000 1.0000000000000000 1.000000 -1181074.259426 266.504522 37.028113 144.110287 -273.557318 3043.881575 -9.662 -9.662 2.700651 0.000000 2.348 n/a n/a
67 5000.00 1234.30 100.000000 0.9996906287383324 0.999737 -1158247.729338 272.055513 36.249857 147.492415 -217.126516 2894.830648 -8.433 -8.433 2.758504 3.242755 2.052 n/a n/a
