System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
121 3000.00 1055.67 96.590689 0.9828574961037508 0.988038 -1165322.955915 284.795192 39.999315 145.141662 -295.420056 5493.251018 -12.121 -12.121 2.402147 3.460632 1.495 n/a n/a
122 3000.00 1050.66 94.938769 0.9838377836929467 0.988763 -1146575.850932 280.111389 39.440932 142.564653 -293.742857 5440.267719 -12.235 -12.235 2.395123 3.462139 1.523 n/a n/a
123 3000.00 1045.65 93.408240 0.9846697368051306 0.989377 -1129308.971304 275.743670 38.922077 140.174580 -292.204359 5391.320600 -12.349 -12.349 2.388460 3.463242 1.550 n/a n/a
124 3000.00 1040.64 91.980163 0.9853553917667583 0.989881 -1113290.268963 271.643524 38.436392 137.942379 -290.780888 5345.834681 -12.463 -12.463 2.382108 3.463384 1.577 n/a n/a
125 3000.00 1035.62 90.637051 0.9827350993533012 0.987879 -1098404.190899 267.690229 37.960681 135.747078 -289.110949 5301.770210 -12.597 -12.597 2.375222 3.401058 1.598 n/a n/a
126 3000.00 1030.61 89.078366 0.9803360941711913 0.986068 -1080624.729314 263.226153 37.402013 133.247904 -287.147827 5255.023750 -12.751 -12.751 2.367801 3.361606 1.614 n/a n/a
127 3000.00 1025.60 87.332902 0.9809336859923096 0.986541 -1060239.979738 258.389487 36.786377 130.567484 -285.220996 5207.309311 -12.905 -12.905 2.360562 3.363093 1.630 n/a n/a
128 3000.00 1020.59 85.673959 0.9814930846535529 0.986983 -1040916.113286 253.783021 36.200393 128.021971 -283.399857 5162.179227 -13.059 -13.059 2.353493 3.364900 1.646 n/a n/a
129 3000.00 1015.58 84.094583 0.9820171839467804 0.987399 -1022569.655123 249.388470 35.641747 125.600607 -281.676249 5119.413438 -13.214 -13.214 2.346581 3.367047 1.662 n/a n/a
130 3000.00 1010.57 82.588520 0.9825086496399994 0.987789 -1005125.783468 245.189392 35.108358 123.293733 -280.042859 5078.814651 -13.369 -13.369 2.339815 3.369555 1.678 n/a n/a
131 3000.00 1005.56 81.150141 0.9829699335839494 0.988156 -988517.327891 241.170980 34.598357 121.092660 -278.493120 5040.205702 -13.525 -13.525 2.333182 3.372446 1.694 n/a n/a
132 3000.00 1000.55 79.774365 0.9834032922240252 0.988502 -972683.891147 237.319873 34.110056 118.989559 -277.021124 5003.427267 -13.682 -13.682 2.326672 3.375741 1.711 n/a n/a
133 3000.00 995.54 78.456601 0.9838108086293945 0.988828 -957571.080568 233.623990 33.641934 116.977366 -275.621549 4968.335868 -13.840 -13.840 2.320274 3.379463 1.727 n/a n/a
134 3000.00 990.53 77.192692 0.9776153877014568 0.978784 -943262.150590 229.967894 33.272468 114.982764 -320.143278 5077.950466 -14.032 -14.032 2.317246 2.447848 1.770 n/a n/a
135 3000.00 985.52 75.468882 0.9783093861450300 0.979412 -923211.851359 224.637439 32.572888 112.254223 -314.345251 4971.281343 -14.224 -14.224 2.314314 2.441067 1.814 n/a n/a
136 3000.00 980.50 73.836047 0.9790075040626007 0.980112 -904301.537118 219.569937 31.907924 109.671122 -308.289102 4867.508922 -14.417 -14.417 2.311427 2.442536 1.859 n/a n/a
137 3000.00 975.49 72.290190 0.9796697932803146 0.980783 -886484.759856 214.760855 31.278293 107.228839 -302.566695 4768.920063 -14.611 -14.611 2.308570 2.445106 1.904 n/a n/a
138 3000.00 970.48 70.824675 0.9802965181184877 0.981425 -869683.777855 210.191197 30.681540 104.916960 -297.169159 4675.206865 -14.805 -14.805 2.305727 2.448571 1.949 n/a n/a
139 3000.00 965.47 69.433358 0.9808895110858065 0.982036 -853825.854197 205.843213 30.115332 102.725834 -292.081201 4586.052191 -15.001 -15.001 2.302889 2.452758 1.995 n/a n/a
140 3000.00 960.46 68.110642 0.9570501405256714 0.956688 -839293.316763 201.337162 29.672211 100.307107 -327.346216 4621.277811 -15.074 -15.074 2.296304 2.276239 2.040 n/a n/a
141 3000.00 955.45 65.192266 0.9574455507886942 0.957359 -804137.299654 192.699594 28.481071 95.819683 -313.699086 4434.592769 -15.128 -15.128 2.289174 2.284347 2.084 n/a n/a
